,Location,Region,CountryCode,Population
0,Maldives,Asia,462,344023
1,Cambodia,Asia,116,15626444
2,Serbia,Europe,688,7076372
3,Latvia,Europe,428,1961600
4,Korea (Democratic People's Republic of),Asia,408,25281000
5,Fiji,Oceania,242,867000
6,United Arab Emirates,Asia,784,9856000
7,Belize,Americas,084,370300
8,Costa Rica,Americas,188,4890379
9,Niue,Oceania,570,1470
10,Bahrain,Asia,048,1404900
11,Morocco,Africa,504,33337529
12,Georgia,Asia,268,3720400
13,Honduras,Americas,340,8576532
14,Burkina Faso,Africa,854,19034397
15,Mexico,Americas,484,122273473
16,Saint Vincent and the Grenadines,Americas,670,109991
17,Angola,Africa,024,25868000
18,Ukraine,Europe,804,42692393
19,Yemen,Asia,887,27478000
20,New Zealand,Oceania,554,4697854
21,Myanmar,Asia,104,51419420
22,Algeria,Africa,012,40400000
23,Australia,Oceania,036,24117360
24,Vanuatu,Oceania,548,277500
25,Bolivia (Plurinational State of),Americas,068,10985059
26,Grenada,Americas,308,103328
27,Switzerland,Europe,756,8341600
28,Tuvalu,Oceania,798,10640
29,Equatorial Guinea,Africa,226,1222442
30,Indonesia,Asia,360,258705000
31,Sweden,Europe,752,9894888
32,"Tanzania, United Republic of",Africa,834,55155000
33,El Salvador,Americas,222,6520675
34,Nauru,Oceania,520,10084
35,Rwanda,Africa,646,11553188
36,Antigua and Barbuda,Americas,028,86295
37,Guatemala,Americas,320,16176133
38,Singapore,Asia,702,5535000
39,Gambia,Africa,270,1882450
40,Kiribati,Oceania,296,113400
41,Israel,Asia,376,8527400
42,Malaysia,Asia,458,31405416
43,Cook Islands,Oceania,184,18100
44,Bahamas,Americas,044,378040
45,Montenegro,Europe,499,621810
46,Slovakia,Europe,703,5426252
47,United States of America,Americas,840,323947000
48,Botswana,Africa,072,2141206
49,Poland,Europe,616,38437239
50,Colombia,Americas,170,48759958
51,Egypt,Africa,818,91290000
52,Lao People's Democratic Republic,Asia,418,6492400
53,Panama,Americas,591,3814672
54,Zimbabwe,Africa,716,14240168
55,Thailand,Asia,764,65327652
56,Barbados,Americas,052,285000
57,Greece,Europe,300,10858018
58,Korea (Democratic People's Republic of),Asia,408,25281000
59,Dominican Republic,Americas,214,10075045
60,Guinea-Bissau,Africa,624,1547777
61,Palau,Oceania,585,17950
62,Sierra Leone,Africa,694,7075641
63,Malawi,Africa,454,16832910
64,Canada,Americas,124,36155487
65,Tajikistan,Asia,762,8593600
66,Tunisia,Africa,788,11154400
67,Romania,Europe,642,19861408
68,Iraq,Asia,368,37883543
69,Niger,Africa,562,20715000
70,Brazil,Americas,076,206135893
71,British Indian Ocean Territory,Africa,086,3000
72,Dominica,Americas,212,71293
73,Ecuador,Americas,218,16545799
74,Viet Nam,Asia,704,92700000
75,Ghana,Africa,288,27670174
76,Brunei Darussalam,Asia,096,411900
77,Sao Tome and Principe,Africa,678,187356
78,Cuba,Americas,192,11239004
79,Equatorial Guinea,Africa,226,1222442
80,Trinidad and Tobago,Americas,780,1349667
81,Spain,Europe,724,46438422
82,Kazakhstan,Asia,398,17753200
83,Oman,Asia,512,4420133
84,United Kingdom of Great Britain and Northern Ireland,Europe,826,65110000
85,Eritrea,Africa,232,5352000
86,Jamaica,Americas,388,2723246
87,Jordan,Asia,400,9531712
88,Germany,Europe,276,81770900
89,Monaco,Europe,492,38400
90,Afghanistan,Asia,004,27657145
91,Nicaragua,Americas,558,6262703
92,Cyprus,Europe,196,847000
93,Uzbekistan,Asia,860,31576400
94,Argentina,Americas,032,43590400
95,Swaziland,Africa,748,1132657
96,Lesotho,Africa,426,1894194
97,Namibia,Africa,516,2324388
98,Belgium,Europe,056,11319511
99,Chile,Americas,152,18191900
100,Qatar,Asia,634,2587564
101,Pakistan,Asia,586,194125062
102,Papua New Guinea,Oceania,598,8083700
103,Benin,Africa,204,10653654
104,Cameroon,Africa,120,22709892
105,Guyana,Americas,328,746900
106,Haiti,Americas,332,11078033
107,Turkmenistan,Asia,795,4751120
108,Moldova (Republic of),Europe,498,3553100
109,Kenya,Africa,404,47251000
110,Belarus,Europe,112,9498700
111,San Marino,Europe,674,33005
112,Ethiopia,Africa,231,92206005
113,Venezuela (Bolivarian Republic of),Americas,862,31028700
114,Mali,Africa,466,18135000
115,China,Asia,156,1377422166
116,Saint Kitts and Nevis,Americas,659,46204
117,Azerbaijan,Asia,031,9730500
118,Hungary,Europe,348,9823000
119,Nepal,Asia,524,28431500
120,Burundi,Africa,108,10114505
121,Seychelles,Africa,690,91400
122,Italy,Europe,380,60665551
123,Micronesia (Federated States of),Oceania,583,102800
124,Mauritius,Africa,480,1262879
125,Solomon Islands,Oceania,090,642000
126,Mauritania,Africa,478,3718678
127,Mozambique,Africa,508,26423700
128,Peru,Americas,604,31488700
129,South Africa,Africa,710,55653654
130,Norway,Europe,578,5223256
131,Somalia,Africa,706,11079000
132,Togo,Africa,768,7143000
133,Austria,Europe,040,8725931
134,Croatia,Europe,191,4190669
135,Timor-Leste,Asia,626,1167242
136,Mongolia,Asia,496,3093100
137,Armenia,Asia,051,2994400
138,Bangladesh,Asia,050,161006790
139,Libya,Africa,434,6385000
140,France,Europe,250,66710000
141,Iran (Islamic Republic of),Asia,364,79369900
142,Philippines,Asia,608,103279800
143,Liberia,Africa,430,4615000
144,Marshall Islands,Oceania,584,54880
145,Cabo Verde,Africa,132,531239
146,Denmark,Europe,208,5717014
147,Saudi Arabia,Asia,682,32248200
148,South Sudan,Africa,728,12131000
149,Sri Lanka,Asia,144,20966000
150,Bhutan,Asia,064,775620
151,Bulgaria,Europe,100,7153784
152,Turkey,Asia,792,78741053
153,Japan,Asia,392,126960000
154,Portugal,Europe,620,10374822
155,Albania,Europe,008,2886026
156,Saint Lucia,Americas,662,186000
157,Finland,Europe,246,5491817
158,Madagascar,Africa,450,22434363
159,Lebanon,Asia,422,5988000
160,Nigeria,Africa,566,186988000
161,Kyrgyzstan,Asia,417,6047800
162,Andorra,Europe,020,78014
163,Djibouti,Africa,262,900000
164,Gabon,Africa,266,1802278
165,Netherlands,Europe,528,17019800
166,Ireland,Europe,372,6378000
167,Bosnia and Herzegovina,Europe,070,3531159
168,Russian Federation,Europe,643,146599183
169,Paraguay,Americas,600,6854536
170,Uruguay,Americas,858,3480222
171,Tonga,Oceania,776,103252
172,American Samoa,Oceania,016,57100
173,Uganda,Africa,800,33860700
174,South Sudan,Africa,728,12131000
175,Malta,Europe,470,425384
176,Congo,Africa,178,4741000
177,Iceland,Europe,352,334300
178,Chad,Africa,148,14497000
179,Slovenia,Europe,705,2064188
180,Suriname,Americas,740,541638
181,Syrian Arab Republic,Asia,760,18564000
182,Comoros,Africa,174,806153
183,Zambia,Africa,894,15933883
184,Central African Republic,Africa,140,4998000
185,Luxembourg,Europe,442,576200
186,Lithuania,Europe,440,2872294
187,Estonia,Europe,233,1315944
