,Location,Region,CountryCode,Population
0,Yemen,Asia,887,27478000
1,Micronesia (Federated States of),Oceania,583,102800
2,Tajikistan,Asia,762,8593600
3,Niue,Oceania,570,1470
4,Costa Rica,Americas,188,4890379
5,Brunei Darussalam,Asia,096,411900
6,Sierra Leone,Africa,694,7075641
7,Saint Vincent and the Grenadines,Americas,670,109991
8,France,Europe,250,66710000
9,Antigua and Barbuda,Americas,028,86295
10,Monaco,Europe,492,38400
11,Morocco,Africa,504,33337529
12,Pakistan,Asia,586,194125062
13,Tuvalu,Oceania,798,10640
14,Uzbekistan,Asia,860,31576400
15,Moldova (Republic of),Europe,498,3553100
16,Iceland,Europe,352,334300
17,Malawi,Africa,454,16832910
18,Burkina Faso,Africa,854,19034397
19,Slovenia,Europe,705,2064188
20,United Kingdom of Great Britain and Northern Ireland,Europe,826,65110000
21,Guatemala,Americas,320,16176133
22,Ukraine,Europe,804,42692393
23,Timor-Leste,Asia,626,1167242
24,Marshall Islands,Oceania,584,54880
25,Nigeria,Africa,566,186988000
26,Dominican Republic,Americas,214,10075045
27,Korea (Democratic People's Republic of),Asia,408,25281000
28,Barbados,Americas,052,285000
29,Bahamas,Americas,044,378040
30,Trinidad and Tobago,Americas,780,1349667
31,Cyprus,Europe,196,847000
32,Jordan,Asia,400,9531712
33,Mali,Africa,466,18135000
34,Maldives,Asia,462,344023
35,Tunisia,Africa,788,11154400
36,Australia,Oceania,036,24117360
37,Honduras,Americas,340,8576532
38,Finland,Europe,246,5491817
39,Mongolia,Asia,496,3093100
40,Lao People's Democratic Republic,Asia,418,6492400
41,Papua New Guinea,Oceania,598,8083700
42,South Sudan,Africa,728,12131000
43,Madagascar,Africa,450,22434363
44,New Zealand,Oceania,554,4697854
45,Indonesia,Asia,360,258705000
46,Cabo Verde,Africa,132,531239
47,Oman,Asia,512,4420133
48,Kenya,Africa,404,47251000
49,Chile,Americas,152,18191900
50,Uruguay,Americas,858,3480222
51,South Sudan,Africa,728,12131000
52,Malaysia,Asia,458,31405416
53,Thailand,Asia,764,65327652
54,Swaziland,Africa,748,1132657
55,Albania,Europe,008,2886026
56,Comoros,Africa,174,806153
57,"Tanzania, United Republic of",Africa,834,55155000
58,Afghanistan,Asia,004,27657145
59,Panama,Americas,591,3814672
60,Eritrea,Africa,232,5352000
61,Peru,Americas,604,31488700
62,Haiti,Americas,332,11078033
63,Iraq,Asia,368,37883543
64,Cameroon,Africa,120,22709892
65,Portugal,Europe,620,10374822
66,Viet Nam,Asia,704,92700000
67,Guinea-Bissau,Africa,624,1547777
68,Saint Kitts and Nevis,Americas,659,46204
69,Saudi Arabia,Asia,682,32248200
70,Vanuatu,Oceania,548,277500
71,Kuwait,Asia,414,4183658
72,Bhutan,Asia,064,775620
73,Syrian Arab Republic,Asia,760,18564000
74,Gabon,Africa,266,1802278
75,Hungary,Europe,348,9823000
76,Dominica,Americas,212,71293
77,Russian Federation,Europe,643,146599183
78,Djibouti,Africa,262,900000
79,Congo,Africa,178,4741000
80,China,Asia,156,1377422166
81,Suriname,Americas,740,541638
82,Myanmar,Asia,104,51419420
83,Lesotho,Africa,426,1894194
84,Sri Lanka,Asia,144,20966000
85,Nepal,Asia,524,28431500
86,Croatia,Europe,191,4190669
87,Nauru,Oceania,520,10084
88,Cuba,Americas,192,11239004
89,Korea (Democratic People's Republic of),Asia,408,25281000
90,Egypt,Africa,818,91290000
91,Poland,Europe,616,38437239
92,Bangladesh,Asia,050,161006790
93,Montenegro,Europe,499,621810
94,Tonga,Oceania,776,103252
95,Angola,Africa,024,25868000
96,Togo,Africa,768,7143000
97,Iran (Islamic Republic of),Asia,364,79369900
98,Georgia,Asia,268,3720400
99,Turkmenistan,Asia,795,4751120
100,Bahrain,Asia,048,1404900
101,Kiribati,Oceania,296,113400
102,Norway,Europe,578,5223256
103,Niger,Africa,562,20715000
104,Estonia,Europe,233,1315944
105,South Africa,Africa,710,55653654
106,Spain,Europe,724,46438422
107,Singapore,Asia,702,5535000
108,Mexico,Americas,484,122273473
109,Namibia,Africa,516,2324388
110,Belgium,Europe,056,11319511
111,Benin,Africa,204,10653654
112,Zimbabwe,Africa,716,14240168
113,Serbia,Europe,688,7076372
114,Seychelles,Africa,690,91400
115,Somalia,Africa,706,11079000
116,Central African Republic,Africa,140,4998000
117,Malta,Europe,470,425384
118,Japan,Asia,392,126960000
119,Venezuela (Bolivarian Republic of),Americas,862,31028700
120,Azerbaijan,Asia,031,9730500
